tibble,colname
cap_counts,column
cap_counts,outliers_95
cap_counts,outliers_99
cap_counts,perc_capped_95
cap_counts,perc_capped_99
cap_reference,column
cap_reference,cap_95
cap_reference,cap_99
missingness_summary,column
missingness_summary,non_missing_count
missingness_summary,distinct_count
missingness_summary,na_count
missingness_summary,percent_missing
skewness_summary,column
skewness_summary,skewness
wine,id
wine,type
wine,fixed_acidity
wine,volatile_acidity
wine,citric_acid
wine,residual_sugar
wine,chlorides
wine,free_sulfur_dioxide
wine,total_sulfur_dioxide
wine,density
wine,p_h
wine,sulphates
wine,alcohol
wine,quality
wine,quality_class
wine_corked,id
wine_corked,type
wine_corked,quality
wine_corked,quality_class
wine_corked,alcohol
wine_corked,chlorides
wine_corked,citric_acid
wine_corked,density
wine_corked,fixed_acidity
wine_corked,free_sulfur_dioxide
wine_corked,p_h
wine_corked,residual_sugar
wine_corked,sulphates
wine_corked,total_sulfur_dioxide
wine_corked,volatile_acidity
wine_imputed,id
wine_imputed,type
wine_imputed,fixed_acidity
wine_imputed,volatile_acidity
wine_imputed,citric_acid
wine_imputed,residual_sugar
wine_imputed,chlorides
wine_imputed,free_sulfur_dioxide
wine_imputed,total_sulfur_dioxide
wine_imputed,density
wine_imputed,p_h
wine_imputed,sulphates
wine_imputed,alcohol
wine_imputed,quality
wine_imputed,quality_class
wine_raw,id
wine_raw,type
wine_raw,fixed_acidity
wine_raw,volatile_acidity
wine_raw,citric_acid
wine_raw,residual_sugar
wine_raw,chlorides
wine_raw,free_sulfur_dioxide
wine_raw,total_sulfur_dioxide
wine_raw,density
wine_raw,p_h
wine_raw,sulphates
wine_raw,alcohol
wine_raw,quality
wine_scaled,id
wine_scaled,type
wine_scaled,quality
wine_scaled,quality_class
wine_scaled,alcohol
wine_scaled,chlorides
wine_scaled,citric_acid
wine_scaled,density
wine_scaled,fixed_acidity
wine_scaled,free_sulfur_dioxide
wine_scaled,p_h
wine_scaled,residual_sugar
wine_scaled,sulphates
wine_scaled,total_sulfur_dioxide
wine_scaled,volatile_acidity
wine_transformed,id
wine_transformed,type
wine_transformed,quality
wine_transformed,quality_class
wine_transformed,alcohol
wine_transformed,chlorides
wine_transformed,citric_acid
wine_transformed,density
wine_transformed,fixed_acidity
wine_transformed,free_sulfur_dioxide
wine_transformed,p_h
wine_transformed,residual_sugar
wine_transformed,sulphates
wine_transformed,total_sulfur_dioxide
wine_transformed,volatile_acidity
