tibble,colname
air,satisfied
air,gender
air,customer_type
air,age
air,type_of_travel
air,class
air,flight_distance
air,inflight_wifi_service
air,departure_arrival_time_convenient
air,ease_of_online_booking
air,gate_location
air,food_and_drink
air,online_boarding
air,seat_comfort
air,inflight_entertainment
air,on_board_service
air,leg_room_service
air,baggage_handling
air,checkin_service
air,inflight_service
air,cleanliness
air,departure_delay_in_minutes
air,arrival_delay_in_minutes
air_folds,splits
air_folds,id
air_folds,id2
air_models_compared,.metric
air_models_compared,.estimator
air_models_compared,.estimate
air_models_compared,.config
air_models_compared,model
air_testing,satisfied
air_testing,gender
air_testing,customer_type
air_testing,age
air_testing,type_of_travel
air_testing,class
air_testing,flight_distance
air_testing,inflight_wifi_service
air_testing,departure_arrival_time_convenient
air_testing,ease_of_online_booking
air_testing,gate_location
air_testing,food_and_drink
air_testing,online_boarding
air_testing,seat_comfort
air_testing,inflight_entertainment
air_testing,on_board_service
air_testing,leg_room_service
air_testing,baggage_handling
air_testing,checkin_service
air_testing,inflight_service
air_testing,cleanliness
air_testing,departure_delay_in_minutes
air_testing,arrival_delay_in_minutes
air_training,satisfied
air_training,gender
air_training,customer_type
air_training,age
air_training,type_of_travel
air_training,class
air_training,flight_distance
air_training,inflight_wifi_service
air_training,departure_arrival_time_convenient
air_training,ease_of_online_booking
air_training,gate_location
air_training,food_and_drink
air_training,online_boarding
air_training,seat_comfort
air_training,inflight_entertainment
air_training,on_board_service
air_training,leg_room_service
air_training,baggage_handling
air_training,checkin_service
air_training,inflight_service
air_training,cleanliness
air_training,departure_delay_in_minutes
air_training,arrival_delay_in_minutes
best_parameters,min_n
best_parameters,tree_depth
best_parameters,learn_rate
best_parameters,loss_reduction
best_parameters,sample_size
best_parameters,stop_iter
best_parameters,.config
cv_fit,splits
cv_fit,id
cv_fit,id2
cv_fit,.metrics
cv_fit,.notes
cv_perf_summary,.metric
cv_perf_summary,minimum
cv_perf_summary,mean
cv_perf_summary,maximum
lc,loan_amnt
lc,installment
lc,grade
lc,home_ownership
lc,annual_inc
lc,verification_status
lc,purpose
lc,dti
lc,delinq_2yrs
lc,fico_range_low
lc,fico_range_high
lc,inq_last_6mths
lc,open_acc
lc,pub_rec
lc,revol_bal
lc,total_acc
lc,application_type
lc,pub_rec_bankruptcies
lc,term
lc,int_rate
lc,emp_length
lc,loan_default
lc_default_fit,splits
lc_default_fit,id
lc_default_fit,.metrics
lc_default_fit,.notes
lc_final_fit,splits
lc_final_fit,id
lc_final_fit,.metrics
lc_final_fit,.notes
lc_final_fit,.predictions
lc_final_fit,.workflow
lc_folds,splits
lc_folds,id
lc_testing,loan_amnt
lc_testing,installment
lc_testing,grade
lc_testing,home_ownership
lc_testing,annual_inc
lc_testing,verification_status
lc_testing,purpose
lc_testing,dti
lc_testing,delinq_2yrs
lc_testing,fico_range_low
lc_testing,fico_range_high
lc_testing,inq_last_6mths
lc_testing,open_acc
lc_testing,pub_rec
lc_testing,revol_bal
lc_testing,total_acc
lc_testing,application_type
lc_testing,pub_rec_bankruptcies
lc_testing,term
lc_testing,int_rate
lc_testing,emp_length
lc_testing,loan_default
lc_training,loan_amnt
lc_training,installment
lc_training,grade
lc_training,home_ownership
lc_training,annual_inc
lc_training,verification_status
lc_training,purpose
lc_training,dti
lc_training,delinq_2yrs
lc_training,fico_range_low
lc_training,fico_range_high
lc_training,inq_last_6mths
lc_training,open_acc
lc_training,pub_rec
lc_training,revol_bal
lc_training,total_acc
lc_training,application_type
lc_training,pub_rec_bankruptcies
lc_training,term
lc_training,int_rate
lc_training,emp_length
lc_training,loan_default
lr_corr_fit,splits
lr_corr_fit,id
lr_corr_fit,.metrics
lr_corr_fit,.notes
lr_corr_fit,.predictions
lr_corr_fit,.workflow
lr_pca_fit,splits
lr_pca_fit,id
lr_pca_fit,.metrics
lr_pca_fit,.notes
lr_pca_fit,.predictions
lr_pca_fit,.workflow
tune_fit,splits
tune_fit,id
tune_fit,.metrics
tune_fit,.notes
wine,type
