tibble,colname
best_initial_workflow_fit,splits
best_initial_workflow_fit,id
best_initial_workflow_fit,.metrics
best_initial_workflow_fit,.notes
best_parameters,min_n
best_parameters,.config
data_folds,splits
data_folds,id
data_testing,is_fraud
data_testing,transaction_amt
data_testing,product_cd
data_testing,card_issuer
data_testing,deb_cred
data_testing,billing_ctry_num
data_testing,r_emaildomain
data_testing,p_emaildomain
data_testing,operating_sys_browser
data_testing,device_type
data_training,is_fraud
data_training,transaction_amt
data_training,product_cd
data_training,card_issuer
data_training,deb_cred
data_training,billing_ctry_num
data_training,r_emaildomain
data_training,p_emaildomain
data_training,operating_sys_browser
data_training,device_type
final_fit,splits
final_fit,id
final_fit,.metrics
final_fit,.notes
final_fit,.predictions
final_fit,.workflow
r1_m1_fit,splits
r1_m1_fit,id
r1_m1_fit,.metrics
r1_m1_fit,.notes
r1_m2_fit,splits
r1_m2_fit,id
r1_m2_fit,.metrics
r1_m2_fit,.notes
r1_m3_fit,splits
r1_m3_fit,id
r1_m3_fit,.metrics
r1_m3_fit,.notes
r2_m1_fit,splits
r2_m1_fit,id
r2_m1_fit,.metrics
r2_m1_fit,.notes
r2_m2_fit,splits
r2_m2_fit,id
r2_m2_fit,.metrics
r2_m2_fit,.notes
r2_m3_fit,splits
r2_m3_fit,id
r2_m3_fit,.metrics
r2_m3_fit,.notes
test_results,id
test_results,.pred_0
test_results,.pred_1
test_results,.row
test_results,.pred_class
test_results,is_fraud
test_results,.config
tunable_fit,splits
tunable_fit,id
tunable_fit,.metrics
tunable_fit,.notes
tuning_grid,min_n
workflow_perf_summary,.metric
workflow_perf_summary,.estimator
workflow_perf_summary,mean
workflow_perf_summary,n
workflow_perf_summary,std_err
workflow_perf_summary,.config
workflow_perf_summary,workflow_name
workflow_perf_summary,algorithm_name
workflow_perf_summary,engine_name
