ms_sub_class,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_cond,foundation,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,tot_rms_abv_grd,functional,fireplaces,garage_type,garage_finish,garage_cars,garage_area,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_season_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,year_sold,sale_type,sale_condition,sale_price,longitude,latitude,id
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88,11394,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,OneFam,One_Story,Poor,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,Typical,PConc,Typical,Av,GLQ,3,Unf,0,411,1856,GasA,Excellent,Y,SBrkr,1856,0,1856,1,0,1,1,1,1,8,Typ,1,Attchd,Fin,3,834,Typical,Paved,113,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,New,Partial,394432,-93.628804,42.05885,18
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10500,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,432,864,GasA,Typical,Y,SBrkr,864,0,864,0,0,1,0,3,1,5,Typ,1,No_Garage,No_Garage,0,0,No_Garage,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,ConLI,Normal,115000,-93.622769,42.056375,28
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,94,12883,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Typical,PConc,Typical,No,Unf,7,Unf,0,1544,1544,GasA,Excellent,Y,SBrkr,1544,0,1544,0,0,2,0,3,1,7,Typ,0,Attchd,RFn,3,868,Typical,Paved,0,35,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,New,Partial,290941,-93.6528306,42.0612885,40
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,95,12182,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Typical,PConc,Typical,Mn,BLQ,2,Unf,0,340,1541,GasA,Excellent,Y,SBrkr,1541,0,1541,0,0,2,0,3,1,7,Typ,1,Attchd,RFn,2,532,Typical,Paved,0,70,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,New,Partial,220000,-93.652713,42.060872,41
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,12919,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760,Typical,PConc,Typical,Gd,GLQ,3,Unf,0,142,2330,GasA,Excellent,Y,SBrkr,2364,0,2364,1,0,2,1,2,1,11,Typ,2,Attchd,Fin,3,820,Typical,Paved,0,67,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,New,Partial,611657,-93.655051,42.059617,45
One_Story_PUD_1946_and_Newer,Residential_Low_Density,44,6371,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,TwnhsE,One_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,625,1358,GasA,Excellent,Y,SBrkr,1358,0,1358,1,0,2,0,2,1,6,Typ,1,Attchd,RFn,2,484,Typical,Paved,192,35,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,New,Partial,224000,-93.650436,42.058388,46
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,92,9215,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,1218,1218,GasA,Excellent,Y,SBrkr,1218,0,1218,0,0,2,0,2,1,4,Typ,0,Attchd,RFn,2,676,Typical,Paved,0,136,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,New,Partial,204500,-93.649976,42.051827,68
Two_Story_PUD_1946_and_Newer,Floating_Village_Residential,30,3215,Pave,Paved,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,TwnhsE,Two_Story,Average,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120,Typical,PConc,Typical,Av,GLQ,3,Unf,0,320,600,GasA,Excellent,Y,SBrkr,600,600,1200,0,0,2,1,2,1,4,Typ,0,Detchd,RFn,2,480,Typical,Paved,0,172,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,ConLD,Normal,155000,-93.645599,42.048566,96
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,90,9900,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0,Typical,PConc,Typical,No,BLQ,2,Unf,0,150,1209,GasA,Good,Y,SBrkr,1209,0,1209,1,0,1,0,3,1,6,Typ,0,Attchd,RFn,2,504,Typical,Paved,0,0,120,0,0,0,No_Pool,No_Fence,None,0,4,2010,ConLD,Normal,159000,-93.626939,42.039085,121
Split_or_Multilevel,Residential_Low_Density,0,10600,Pave,Paved,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,SLvl,Average,1964,1964,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,CBlock,Typical,No,Unf,7,Unf,0,533,533,GasA,Typical,Y,SBrkr,1131,644,1775,0,0,2,0,3,1,8,Typ,0,Attchd,Unf,2,480,Typical,Paved,0,172,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,COD,Family,136300,-93.626785,42.040326,123
Duplex_All_Styles_and_Ages,Residential_Low_Density,98,13260,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,Duplex,One_Story,Above_Average,1962,2001,Hip,CompShg,HdBoard,HdBoard,BrkFace,144,Typical,CBlock,Typical,No,BLQ,2,Unf,0,228,1728,GasA,Typical,Y,SBrkr,1728,0,1728,2,0,2,0,6,2,10,Typ,0,No_Garage,No_Garage,0,0,No_Garage,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,Oth,Abnorml,84900,-93.622904,42.0418387,126
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,12160,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180,Typical,CBlock,Typical,No,Rec,6,Unf,0,188,1188,GasA,Fair,Y,SBrkr,1188,0,1188,1,0,1,0,3,1,6,Typ,0,Attchd,RFn,2,531,Typical,Paved,0,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,5,2010,COD,Abnorml,142000,-93.614882,42.044052,145
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,60,4800,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Old_Town,Norm,Norm,OneFam,One_and_Half_Fin,Average,1900,1954,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,771,Typical,PConc,Typical,No,ALQ,1,Unf,0,661,709,GasA,Typical,Y,SBrkr,1157,687,1844,1,0,1,0,3,1,9,Min2,2,Basment,Unf,1,240,Typical,Paved,84,0,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,COD,Abnorml,80400,-93.617014,42.033313,170
